symbol,skip_at,distance_pct_at_skip,price_at_skip,ema20_at_skip,check_price_24h,hours_to_check,delta_24h_pct,peak_24h_pct,verdict,notes
AXS/USDT,2026-04-25 10:10:28,44.09,1.746,1.211777,1.4,32.5,-19.82,-6.47,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 11:10:57,40.73,1.699,1.207301,1.4,31.5,-17.60,-3.88,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 11:10:58,40.73,1.699,1.207301,1.4,31.5,-17.60,-3.88,AVOIDED big loss (-10%+),
HYPER/USDT,2026-04-25 12:11:28,48.87,0.1594,0.10707,0.1239,30.5,-22.27,+16.06,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 12:11:28,28.73,1.597,1.240547,1.4,30.5,-12.34,+2.25,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 12:11:29,28.73,1.597,1.240547,1.4,30.5,-12.34,+2.25,AVOIDED big loss (-10%+),
HYPER/USDT,2026-04-25 12:11:29,48.87,0.1594,0.10707,0.1239,30.5,-22.27,+16.06,AVOIDED big loss (-10%+),
HYPER/USDT,2026-04-25 13:11:59,65.96,0.1809,0.109003,0.1239,29.5,-31.51,+1.77,AVOIDED big loss (-10%+),
SAHARA/USDT,2026-04-25 13:11:59,19.60,0.02689,0.022484,0.02389,29.5,-11.16,+6.51,AVOIDED big loss (-10%+),
AXS/USDT,2026-04-25 13:12:00,24.37,1.536,1.235023,1.4,29.5,-8.85,+6.32,avoided medium loss (5-10%),
D/USDT,2026-04-25 13:12:00,20.94,0.0132,0.010915,0.01572,29.5,+19.09,+59.92,BLOCKED big winner (+10%+),
AXS/USDT,2026-04-25 13:12:01,24.37,1.536,1.235023,1.4,29.5,-8.85,+6.32,avoided medium loss (5-10%),
HYPER/USDT,2026-04-25 13:12:01,65.96,0.1809,0.109003,0.1239,29.5,-31.51,+1.77,AVOIDED big loss (-10%+),
HYPER/USDT,2026-04-25 13:15:25,64.59,0.179,0.108756,0.1239,29.5,-30.78,+2.85,AVOIDED big loss (-10%+),
SAHARA/USDT,2026-04-25 13:15:25,17.45,0.02635,0.022436,0.02389,29.5,-9.34,+8.69,avoided medium loss (5-10%),
AXS/USDT,2026-04-25 13:15:25,25.75,1.555,1.236547,1.399,29.5,-10.03,+5.02,AVOIDED big loss (-10%+),
D/USDT,2026-04-25 13:15:26,20.52,0.01315,0.010911,0.01572,29.5,+19.54,+60.53,BLOCKED big winner (+10%+),
AXS/USDT,2026-04-25 13:15:26,25.75,1.555,1.236547,1.399,29.5,-10.03,+5.02,AVOIDED big loss (-10%+),
HYPER/USDT,2026-04-25 13:15:26,64.59,0.179,0.108756,0.1239,29.5,-30.78,+2.85,AVOIDED big loss (-10%+),
HYPER/USDT,2026-04-25 13:45:55,55.20,0.1671,0.10767,0.1239,28.9,-25.85,+10.17,AVOIDED big loss (-10%+),
D/USDT,2026-04-25 13:45:55,35.51,0.01503,0.011092,0.01572,28.9,+4.59,+40.45,blocked small gain,
AXS/USDT,2026-04-25 13:45:55,24.58,1.538,1.234547,1.399,28.9,-9.04,+6.18,avoided medium loss (5-10%),
AXS/USDT,2026-04-25 13:45:56,24.58,1.538,1.234547,1.399,28.9,-9.04,+6.18,avoided medium loss (5-10%),
HYPER/USDT,2026-04-25 13:45:56,55.20,0.1671,0.10767,0.1239,28.9,-25.85,+10.17,AVOIDED big loss (-10%+),
HYPER/USDT,2026-04-25 14:16:26,45.96,0.1554,0.10647,0.1239,28.4,-20.27,+18.47,AVOIDED big loss (-10%+),
D/USDT,2026-04-25 14:16:26,24.65,0.01366,0.010958,0.01572,28.4,+15.08,+54.54,BLOCKED big winner (+10%+),
AXS/USDT,2026-04-25 14:16:26,22.54,1.51,1.232261,1.4,28.4,-7.28,+8.15,avoided medium loss (5-10%),
D/USDT,2026-04-25 14:16:27,24.65,0.01366,0.010958,0.01573,28.4,+15.15,+54.54,BLOCKED big winner (+10%+),
HYPER/USDT,2026-04-25 14:16:27,45.96,0.1554,0.10647,0.1239,28.4,-20.27,+18.47,AVOIDED big loss (-10%+),
HYPER/USDT,2026-04-25 14:46:56,46.03,0.1557,0.106622,0.1239,27.9,-20.42,+18.24,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 14:46:56,26.87,1.221,0.962395,1.39,27.9,+13.84,+73.38,BLOCKED big winner (+10%+),
AXS/USDT,2026-04-25 14:46:56,25.99,1.558,1.236642,1.4,27.9,-10.14,+4.81,AVOIDED big loss (-10%+),
D/USDT,2026-04-25 14:46:56,21.52,0.01328,0.010928,0.0157,27.9,+18.22,+58.96,BLOCKED big winner (+10%+),
HYPER/USDT,2026-04-25 14:46:57,46.03,0.1557,0.106622,0.1239,27.9,-20.42,+18.24,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 14:46:57,26.87,1.221,0.962395,1.39,27.9,+13.84,+73.38,BLOCKED big winner (+10%+),
HYPER/USDT,2026-04-25 15:17:27,64.55,0.1789,0.108718,0.1239,27.4,-30.74,-1.68,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 15:17:27,19.20,1.139,0.955537,1.39,27.4,+22.04,+85.86,BLOCKED big winner (+10%+),
AXS/USDT,2026-04-25 15:17:27,25.35,1.549,1.235785,1.4,27.4,-9.62,+5.42,avoided medium loss (5-10%),
D/USDT,2026-04-25 15:17:28,19.49,0.01302,0.010897,0.01572,27.4,+20.74,+62.14,BLOCKED big winner (+10%+),
HYPER/USDT,2026-04-25 15:17:28,64.55,0.1789,0.108718,0.1239,27.4,-30.74,-1.68,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 15:17:28,19.20,1.139,0.955537,1.39,27.4,+22.04,+85.86,BLOCKED big winner (+10%+),
HYPER/USDT,2026-04-25 15:47:58,54.25,0.1659,0.107556,0.124,26.9,-25.26,+6.03,AVOIDED big loss (-10%+),
ORCA/USDT,2026-04-25 15:47:58,36.69,1.329,0.972299,1.39,26.9,+4.59,+59.29,blocked small gain,
AXS/USDT,2026-04-25 15:47:58,23.14,1.518,1.232738,1.4,26.9,-7.77,+7.58,avoided medium loss (5-10%),
HYPER/USDT,2026-04-25 15:47:59,54.25,0.1659,0.107556,0.124,26.9,-25.26,+6.03,AVOIDED big loss (-10%+),
